Title,Company,Location,Salary,Salary Type,Fit Score,Response Probability,Missing Skills,Verdict,URL
--- ANNUAL SALARY (12 jobs) ---
Machine Learning Engineer,marbl,"Vienna, Vienna, Austria (On-site)","€3,819/yr - €3,819/yr",annual,75,65,Trading or financial markets experience | Electricity markets or power systems knowledge | Linear programming and stochastic optimization | Meteorological/weather data experience | Production forecasting models for trading | Backtesting frameworks | Real-time trading constraints,"Apply - your strong ML credentials, Vienna location, and relevant technical skills outweigh the domain gap for a small company willing to train.",https://www.linkedin.com/jobs/view/4397044487/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=PiNN3akXoeM8AeqfW0Q3FQ%3D%3D&trackingId=yLyt7PuHhvrxCpOP1x037A%3D%3D&trk=flagship3_search_srp_jobs
Data Engineer (Barcelona Relocation),Capitole,European Union (Remote),🎓 €1200 per year training budget and continuous learning opportunities.,annual,25,15,Azure Data Factory | Databricks & Delta Lake | Apache Airflow | PySpark | Lakehouse architecture | Medallion architecture | Azure cloud platform | Data warehousing | Batch/streaming pipelines | DataOps practices | Performance optimization for data workloads,Should not apply - this is a mismatch between ML research engineering and production data engineering requiring specific Azure/Databricks expertise.,https://www.linkedin.com/jobs/view/4395050927/?eBP=CwEAAAGdU_NKtHhobzhdR726oEQVW-2-QiiB1z50Rzs2YnvcYbO3GKjFK9Rvolie413FbBegqwRR3Xq2Al1UHTqiBQJTTcDaPUt-Son_ReyER_zUXAfw0B-KaJxDzHwi10IdX05I0es5KL3vr5XsPFp5sMD252YWhVovcU8qWc6sstRfRKUiSFpLs0Xzn6vHycc8ltW8YybD5X-OwHYX3duWloABArBKIzOwzA4Tn_wh45yZZdizY6gPhV2Op671z4Q9ptaX6VJ9cF7iO-ulxC3uiHZLWM5M-hhXwNEPv4zsxQw9h2y39kq1lQP5moNMWwbIks8MGhsebqT-UhZtDv2_bhM-Pygn-a7BW46ir3NfzzSLDgkTbKe4BQ4u4uWx8_h475UzOfQY-WWz0KmIAIWeP4nGbl1M6u4rrgE2MU6djE2UHZDVyxiNMGfPOmCXVoinFfiBtmHVsdZjmQHMVPxxJS9C5WjXqrry&refId=hcgJroqeW4FcQtTBhln28w%3D%3D&trackingId=PdMOWHaip5zeUDBg8p0wGA%3D%3D&trk=flagship3_search_srp_jobs
System Engineer,Set2Recruit,European Union (Remote),"Salary: €80,000 - €90,000 (Tax Free + Great Benefits)",annual,25,15,"Modern C++ (C++17+) | CI/CD tools (Jenkins, GitLab CI, GitHub Actions) | Testing frameworks (Google Test, Catch2) | Kubernetes orchestration | Embedded Linux (Yocto) | High-performance/real-time systems | Distributed systems and networking | Performance profiling and optimization","Should not apply - this is a systems/infrastructure engineering role requiring C++ expertise, while candidate is an ML researcher with primarily Python background.",https://www.linkedin.com/jobs/view/4396472310/?eBP=CwEAAAGdU_OGjL6vnJLUvZLjKIB_zB7S9eCHFxl4phPZrLtkqarhdIUQvoEiUxP982zylW_YZfqNhtxBfpdDWvOqgkI-ak0lSnI9AaOQ11qT0sXj7svACWU15lOGvy_7WKIpgFbb0WMhyInEKkxTrKQerJa9YQBuwcy0eqNUO_W238kjtLfEbSflMTX_eSUoRdIDM2plr_M04O16dKGl4j3fI1eslqU_sYxr6RnRiVlYT5hw10yzXbFwAxAXMX5NwM5cilRy5lEJmmTZco6YDbEEaUpCpDbo675dxUhOXXbhI6xj0VV-iY_4a0KW-MzaohwJMCzpufGKVpHfDRHYtwUYem7rLhcxN6JoTKigrzZErsKppzZFIxP0Swna5L8QDVuqEf5MKJ1MjM4XBWcZo2LZDOyi_tAUuoNGRoZSoGAIpxFSV5UkfcXtBOwXttLc0t2Zo1M8nT5BcL_RXCRjy3sZMQeKzftVfwfr&refId=DM48ZqdnngiwxTT45GFaqA%3D%3D&trackingId=H%2FY4hznNA5U5mqhLsoP5Mg%3D%3D&trk=flagship3_search_srp_jobs
Senior Full-Stack Engineer (Applied AI),Sagan Recruitment,European Union (Remote),Salary Range: 3200 – 5000 EUR/month,annual,25,15,TypeScript | Node.js | React | GraphQL APIs | Postgres | Frontend development | Full-stack web applications | LLM integration patterns | Commercial software development,Should not apply - this is fundamentally a senior full-stack web developer role requiring extensive TypeScript/React experience that the candidate completely lacks.,https://www.linkedin.com/jobs/view/4382429570/?eBP=CwEAAAGdU_OGjM3EdiLuzRYqCgWSlxU5A6BDYuavGAiwcgvDA0ZFs-QjHbXKczBA4RB8yDPcPhNolFJcS5DlW0Q6DjxRnlECbbfJRQCyd9WnKms4G_Z1I9UFdf3y_1dFU74qHNIdko5dA5W528mZ966Lx9rDtBrPMslwhNOV880oWpX7oiDUOO1o8o2_Xp65vOhhuYEPZpffxCEA5B81B-RDsT7FNfvandEuDeD8VagS5DOoZ5mMbbbPQ-8g2iGbJrlV-m2om_oemHS7B2V-aGXABCX1oMDyCo4opxIuCMcyYKYvaX-edjSgTjlHSPInpehE-KxLBvqUZJmW9M7PD0CZzL2wXYvHtS0afF0LNve_YBO32EbWhQgSfQxs_uW-WpmDgohL80QqF_t_WYeLFOMAjHhMhureWTYjlrBXNidVouFw0dQVvMD4VfpxZrxSSsIeBIvMU-2NUw5IyXuS4uBdyGACrmWROWrrONOTqretKq2g&refId=DM48ZqdnngiwxTT45GFaqA%3D%3D&trackingId=48MvRk%2BwYbhklUXxb%2F7skA%3D%3D&trk=flagship3_search_srp_jobs
Senior Backend Engineer - Engineering Operations,Camunda,"Vienna, Austria (Remote)","Health & Wellbeing: Access locally tailored healthcare, Modern Health for global mental wellbeing, and our Live Well Lifestyle Spending Account (LSA), a flexible, global benefit that puts you in control of your whole life, not just work, from: staying active, to caring for family, exploring personal passions, meaningful experiences, and investing in your financial wellbeing. The Live Well program launches in 2026 and scales to €1,000 annually from 2027.",annual,25,15,Java development experience | CI/CD tools like GitHub Actions and Maven | Backend/fullstack engineering in production systems | Release management and dependency management | CVE management | DevOps toolchain beyond Docker | Business process automation systems | Enterprise software development,"Should not apply - this role requires a senior backend engineer with Java and enterprise DevOps experience, while the candidate is a research ML engineer with fundamentally different skill sets.",https://www.linkedin.com/jobs/view/4378111909/?eBP=CwEAAAGdU_P-rmI63edMraVDcZZ6nzqdBYTkqvEKEYAyrCEl0yO98RcY_ocuhNE-8Ct7huIFQH3c01P-_v1yCbCQbSmT5vMPgBfd5IWL3N0u-49wQTUMF1Udqh5quYsKFA6jMrnmVocUS0QW-yMkda9pFAxvCMDKOvMpSqnFX_oetSxNyKSdNwzWyu42WOkPJx-xxT94OCbjLQpO5JiyYh_mDDo8m6FtDnugnaMIb_iSMbqkwpQaHYqZnWMBCEdne-j26KysC6JmDMOZTErpkQe6_hAVmehEwnbjQxcgquC-FLS1UVY_GgW30EOPd7UHkqMYZrebcoeJxRf3qv7pfUJAFETxIbJGboE_qDclDUGuTyoooDNpijuqy0wJW6-Bkdna609R6cLTEy6s50XWcE7EGgeKmHgQBMiLO8hR57G96HI2GGOSPhtvboo0bmVhswtD8Ppaw7tMV4zVAMR1peJYF4w0wNOYvPQcrOyKNjtmK9n34rPa3ia8JS0EhrNkXjg71-SwIg&refId=oQYP%2Bp3ys37h4BFQTIKLHA%3D%3D&trackingId=vAAw0s5DzXAvVdHaMr9F%2Fw%3D%3D&trk=flagship3_search_srp_jobs
Research Development Consultant,Work Consulting,European Union (Remote),"€3,000 – €8,000 per month( Part-Time/Temporary Engagement）",annual,25,15,PhD degree specifically required | Post-PhD experience (candidate has M.Tech + research experience but not PhD + post-PhD) | Cross-functional commercial collaboration | Patent development experience | Technology transfer strategies | Biomedical/materials/energy domain expertise,"Should not apply - the PhD requirement is explicit and non-negotiable, and 58% of applicants already have PhDs making this highly competitive for a non-PhD candidate.",https://www.linkedin.com/jobs/view/4397197861/?eBP=BUDGET_EXHAUSTED_JOB&refId=mUDzFaoeWVfVGrf8pW6PZw%3D%3D&trackingId=gP38giJ0Hs6xmDCEBWZzWA%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Engineer,Signify Technology,European Union (Remote),Rate:$500–$550 per day,annual,25,15,Scala programming | Apache Spark | AWS cloud platform | GCP to AWS migration experience | Airflow orchestration | Data engineering seniority | Kubernetes,Should not apply - this is a senior data engineering role requiring specific enterprise technologies (Scala/Spark/AWS) that the candidate has no demonstrated experience with.,https://www.linkedin.com/jobs/view/4394528908/?eBP=CwEAAAGdU_o3Bk5OPIEfwLYeaHBHbhOFIQ7-b_grWHiEGvq0VPhD5XlgVJdgwUYzJRsYeUvk-1z4EE32nIywLOGQRwJJ1g8jKNNcv4iTpjfEyn9mZDXv-lctXJvDy5vaKy8-LTgMeYNLypZfkGjOmHe9oR14a3bSOOi6VFTfaD8F5qJ3OGhxy_IxCCMoOeEdG35MLUz-qitd6vms7JnIelA5W26rNshe3GiO5m3O4j14u8dbE9eCphGZen9VlsZ-yfuLrAeVOkzNef2wFJrVnwx-Y_O1NXIOwW0oDU5bjkBjR4OERHFRtkoboGdFXi6042dz_xc0ZPm59kg-dmZUUy5Q5uiynH4ifzded0QH3Sj7vA81xJzhsvVg1J3pn72UUkmr1CgngqA82b4XMMocdrpzicbnIBOnIAsQjjEOyDsqdAC5L6cJIUfK6dnOiHAMIE_-IOnODarNsVHYK-WgOJyHkiRrNM8In1BImfijwdVDL7C1&refId=TD3UY9P08fsaRf5QhtLv9A%3D%3D&trackingId=OTiEcdLaTD8J%2F%2FQm7i5ufg%3D%3D&trk=flagship3_search_srp_jobs
SAS Consultant,Archer Recruitment,European Union (Remote),Up to €500- €550 per day,annual,15,5,SAS expertise | Actuarial background | Financial services experience | SAS to Python migration experience,"Do not apply - this requires deep SAS expertise and actuarial background that you completely lack, making you fundamentally unqualified despite your strong Python skills.",https://www.linkedin.com/jobs/view/4393299904/?eBP=CwEAAAGdU_RJZprXU4IQn5Nxy6mnPCrikYhdfOXIjvqVPCJfmv-PuMwcaIVc3bJVm9WMPfIPuscdaRbtlUz2CAt-GdCkNuVcaRVUNAFH2gQtOeRxKX9r8uj5AMIyFcqKvivtnUJH1DT9UJOs3votJ10nNrhBXi1KlT4mRtrBN-BVuGG0JupC4EJ6cNeu_Ph187fe-CSF1P8ycLcgUBqisH7pc-bxMs9IcPE5lT7I4dzIhelefWYi-oqlFDld-K1HPEVqJEBOYrgMa3SFHhC2irKsZjlw4XabQGeZvYJdQJaD16JI43Nh_zyR1cwliDHTt6J-W9XD3sC3a4mFQctK0HHTktomwMOT2OUHLyCVgzLK9ajHZBqP5RYOKRJR3As6sUVYZLl9cYI8yZjWEUoPNK6rszUnTYUrzlTvIDm9hTWwLgA3E0tGRjSEuDjRBMgzTnzN7PK-1NzCu7u8AjSnm1m6ZBGn4fDmNO_pwm1vjPPR6c0s&refId=HGJ8MFn5eLlVoxUKQrqIOw%3D%3D&trackingId=Pb%2Fhk6b9I3Z9%2BWjiGUUhVw%3D%3D&trk=flagship3_search_srp_jobs
Research Manager,European Space Policy Institute (ESPI),"Vienna, Vienna, Austria (On-site)","The position is full-time (40 hours/week) with flexible working conditions. The advertised salary is in the range of € 80,000 – € 85,000 gross per year (paid 14 times a year). Given ESPI’s status as a Quasi International Organisation (QIO) since July 2025, the salary of ESPI employees is exempt from tax.",annual,15,5,Space sector knowledge and experience | 12+ years work experience (has ~4 years) | Economics/Political Science/Law background | Policy analysis experience | Team leadership and management | Budget and contract management | Space industry understanding | Strategic planning experience | Think tank or consultancy experience,Do not apply - this is a senior space policy management role requiring completely different domain expertise and 3x more experience than candidate possesses.,https://www.linkedin.com/jobs/view/4396989566/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=uMAArkmjU88nIRUSpPxcgw%3D%3D&trackingId=oCQDx8HLEa%2BdB0ezvmuRgQ%3D%3D&trk=flagship3_search_srp_jobs
