SKILL GAP ANALYSIS
============================================================

   16x  German language proficiency
    7x  CI/CD pipelines
    7x  German language skills
    6x  TypeScript
    5x  Full-stack web development
    5x  Frontend development
    4x  Vector databases
    4x  Client consulting experience
    4x  Product management experience
    4x  Microservices architecture
    4x  CAD software experience
    3x  Rust programming
    3x  Team leadership experience
    3x  LLM experience (GPT, Claude, etc.)
    3x  Stakeholder management
    3x  Enterprise software development
    3x  Full-stack application development
    3x  Top-tier product company experience
    3x  GenAI technologies (LLMs, RAG, prompt engineering, vector databases)
    3x  Java
    3x  Business stakeholder management
    3x  German language skills for Austrian market
    3x  JavaScript
    3x  Web application development
    3x  PostgreSQL
    3x  JavaScript/TypeScript
    3x  Cloud platforms (AWS/Azure/GCP)
    3x  AWS cloud services
    3x  R programming
    2x  Tool use and function calling
    2x  JavaScript/ReactJS experience
    2x  Go programming
    2x  RAG systems
    2x  Agent frameworks (LangChain)
    2x  Production LLM deployment
    2x  Kubernetes orchestration
    2x  Cloud platforms (AWS, Azure, GCP)
    2x  Team leadership and management
    2x  Customer-facing product development
    2x  Statsmodels, Matplotlib, Seaborn libraries
    2x  R programming language
    2x  Azure Data Factory
    2x  Apache Airflow
    2x  Azure cloud platform
    2x  Production data engineering at scale
    2x  Node.js
    2x  React
    2x  Engineering calculations and simulations experience
    2x  System design and optimization background
    2x  Understanding of practical engineering constraints
    2x  Infrastructure as Code (Terraform, Ansible, Puppet)
    2x  Business intelligence systems
    2x  Web application architecture
    2x  VoIP technologies
    2x  AWS cloud platform
    2x  C++ proficiency
    2x  Kubernetes
    2x  Web development experience
    2x  ETL/ELT processes
    2x  Customer relationship management
    2x  Academic content creation for educational purposes
    2x  Mixpanel experience
    2x  Trading strategy development
    2x  Client-facing consulting experience
    2x  Cross-functional team leadership
    2x  Business consulting experience
    2x  Power BI
    2x  Russian language fluency
    2x  SQL production experience
    2x  Direct business stakeholder communication
    2x  SAS or SPSS experience
    2x  Russian language fluency (critical requirement)
    2x  Content/media analytics experience
    2x  Power BI expertise
    2x  Banking/financial services experience
    2x  SQL proficiency
    2x  5+ years product management experience
    2x  Budget planning and control
    2x  Product strategy and roadmap ownership
    2x  Stakeholder management across commercial teams
    2x  Go-to-market collaboration
    2x  Salesforce platform experience
    2x  Salesforce certifications (AI Specialist, etc.)
    2x  Presales and sales support experience
    2x  Business development collaboration
    2x  Business strategy development
    2x  MS Office proficiency
    2x  Jetpack Compose
    2x  Sales experience
    2x  Client relationship management
    2x  Airflow orchestration
    2x  Data visualization tools
    2x  People management
    2x  Understanding of MiCAR and DORA regulations
    2x  Experience managing outsourcing within global group structure
    2x  Experience with regulatory audits and inspections
    1x  Publications in top-tier ML venues (NeurIPS, ICML, ICLR, JMLR)
    1x  Transformer architectures experience
    1x  Large-scale generative AI systems
    1x  Financial/quantitative domain knowledge
    1x  PhD in ML/AI (has aerospace engineering background)
    1x  Experience with modern LLMs and generative models
    1x  State-of-the-art model scaling
    1x  Commercial SaaS product development experience
    1x  NLP/text processing experience
    1x  Information retrieval systems
    1x  Backend engineering in business environments
    1x  Experience with business stakeholders and product teams
    1x  Large-scale production ML systems at enterprise level
    1x  Hands-on experience with LLMs (OpenAI, Anthropic, etc.)
    1x  Agent frameworks like LangChain
    1x  RAG systems implementation
    1x  Conversational AI development
    1x  5+ years MLOps experience (has ~2-3 years)
    1x  5+ years total ML experience (has ~4 years)
    1x  Kubernetes experience
    1x  CI/CD pipeline implementation
    1x  Airflow or similar orchestration tools
    1x  Kubeflow experience
    1x  Large-scale production system maintenance
    1x  NLP and Generative AI experience
    1x  Computer Vision architectures like YOLO
    1x  Multi-modal language models
    1x  Recommendation systems experience
    1x  Text classification/NER/caption generation projects
    1x  Image classification/understanding projects
    1x  Search systems (OpenSearch/ElasticSearch)
    1x  Production experience with 100k+ predictions per day
    1x  Retail/e-commerce domain knowledge
    1x  NLP and transformer models experience
    1x  LLM fine-tuning and productionization
    1x  Email security domain knowledge
    1x  Kubernetes deployment
    1x  Model drift monitoring in production
    1x  Business-focused ML applications
    1x  CI/CD for ML systems
    1x  Imbalanced dataset handling at scale
    1x  Casual puzzle game level design experience
    1x  Game design fundamentals
    1x  Difficulty curve design for games
    1x  Player progression systems
    1x  Game mechanics design
    1x  Mobile gaming experience
    1x  KPI optimization in gaming context
    1x  C/C++ development
    1x  Java programming
    1x  Production-grade application development at top-tier product companies
    1x  Enterprise software development experience
    1x  Natural Language Processing or Recommendation Systems experience
    1x  Large Language Models (GPT-4, Llama 3) implementation
    1x  Agentic workflows and RAG systems
    1x  SQL-aware AI agents
    1x  LLM fine-tuning
    1x  Cost optimization for LLMs
    1x  Context window management
    1x  Medical/healthcare domain knowledge
    1x  Medical informatics background
    1x  Hospital/oncology experience
    1x  ORBIS oncology system experience
    1x  Medical form configuration
    1x  Healthcare software development
    1x  Cancer registry systems
    1x  Azure Cloud ecosystem
    1x  Data Warehouse and Data Lake architecture
    1x  Databricks platform
    1x  Azure Synapse
    1x  pySpark
    1x  Data integration and ETL tools
    1x  MDM (Master Data Management)
    1x  Infrastructure as Code (IaC)
    1x  Azure DevOps
    1x  Conversational AI
    1x  TypeScript (primary language requirement)
    1x  Vue 3 frontend framework
    1x  NestJS backend framework
    1x  PostgreSQL database
    1x  LangGraph/LangChain AI frameworks
    1x  Langfuse and Agenta tools
    1x  Educational technology domain experience
    1x  DevOps practices and tools
    1x  Security implementation
    1x  Business development and sales
    1x  Agile methodology leadership
    1x  Make-or-buy decision experience
    1x  Offshore team management
    1x  High-availability system architecture
    1x  JavaScript and ReactJS
    1x  C/C++, Java, Rust, Go
    1x  System design for web applications
    1x  Production-grade web application experience
    1x  SQL database design and optimization
    1x  UI/UX design
    1x  SaaS/enterprise software experience
    1x  Talent acquisition domain knowledge
    1x  Responsive web application development
    1x  German fluency (only A2 level)
    1x  Cloud development (AWS/Azure)
    1x  LLM and GraphRAG experience
    1x  Vector database embeddings
    1x  Consulting/client advisory experience
    1x  Product Owner/Requirements Engineer experience
    1x  EU AI regulation knowledge
    1x  Prompt engineering and optimization
    1x  Game development pipeline knowledge
    1x  Multi-model LLM orchestration
    1x  Game design mechanics understanding
    1x  Marketing/UA AI applications
    1x  Production tooling (Jira, GDDs)
    1x  Real-world AI productivity tools deployment
    1x  Mechanical Engineering degree or equivalent
    1x  3+ years construction project management experience
    1x  Facility mechanical systems experience
    1x  Data center equipment experience (switchgear, generators, controls, security, fire safety)
    1x  Construction industry knowledge
